Município-São Paulo,Codigo Municipio,Ano,Gini,Densidade,% Trab,PIB per capita,Anos Medios de Educação,Investimento em Segurança,Urbanização,População,Homicídio Doloso,Furto,Roubo,Furto e Roubo de Veículo,Crime,Tx.Crime,Tx.Seg
SAO PAULO,3550308,2017,0.47772628024394326,7947.824460053831,0.40202674156377166,37336.5485455245,14.598900295153006,330400193.0960954,0.9999206867639578,12106921.0,713,193686,152606,74981,421273,34.796047649109134,27290.191543836405
SAO PAULO,3550308,2016,0.4779036512802139,7902.694150856693,0.4113872253383279,37438.14768719491,14.522050032398754,337740386.3469114,0.9999053407700451,12038174.0,844,183350,159557,82830,425737,35.36557953058329,28055.782076825886
SAO PAULO,3550308,2015,0.4859958156998636,7856.512833978862,0.42832599671820093,39525.186398238526,14.419529075632285,329295599.8198417,0.9999052225096278,11967826.0,991,176579,154706,82005,413290,34.533423196493665,27515.072480151506
SAO PAULO,3550308,2014,0.4819217080981761,7809.290356462942,0.4462381635610007,41641.39282462408,14.299933633499052,136860358.46028352,0.9999019854030595,11895892.0,1131,189162,160128,98967,448257,37.681663552426336,11504.842046336964
SAO PAULO,3550308,2013,0.48540329479483146,7760.699140024946,0.4439147671439204,41434.69531700869,14.181974174832467,375569783.2490477,0.9999234268217704,11821873.0,1175,201305,126526,99190,427021,36.1212643715594,31769.05920483562
SAO PAULO,3550308,2012,0.48627528962480826,7468.446136676952,0.4603501336593334,42170.71926958562,14.112301704441522,408318196.2337635,0.999950410789013,11376684.0,1368,199428,113044,86945,399417,35.10838483340137,35890.791748611766
SAO PAULO,3550308,2011,0.49451536883559605,7428.687717455525,0.44404645761974953,41286.857105190524,13.994816993748909,378172754.4289486,0.9999480035196043,11316120.0,1019,198252,109709,83295,391256,34.575101713308094,33418.94168928472
SAO PAULO,3550308,2010,0.4916974123636518,7381.584717389877,0.4334026598916008,40063.79,13.926729291764845,282818359.2,0.9999498915319401,11244368.0,1196,171273,110909,77855,360037,32.01931847125601,25152.001357479585
SAO PEDRO,3550407,2017,0.24525806353024474,57.11620294599018,0.17611324431199496,13733.673031231096,13.338268792710705,1538522.602741181,0.8558763878306078,34898.0,2,456,87,55,598,17.135652472921084,44086.26863262023
SAO PEDRO,3550407,2016,0.24887190601485573,56.620294599018,0.17427373897962134,12957.712869289502,13.201857687842097,1499961.8073632922,0.8523970500173214,34595.0,3,344,55,52,451,13.036565977742448,43357.762895311236
SAO PEDRO,3550407,2015,0.260588624741275,56.11129296235679,0.17815890794539727,12777.007363791216,13.160117878192535,1809401.3790510152,0.8673852704275897,34284.0,1,318,59,42,419,12.22144440555361,52776.84573127451
SAO PEDRO,3550407,2014,0.26729261866993687,55.59083469721767,0.18109285756344579,13586.059365314852,13.226954966672086,1592214.4162313065,0.8809290216611697,33966.0,7,418,99,42,559,16.45763410469293,46876.71248399301
SAO PEDRO,3550407,2013,0.26008709161249627,55.05400981996727,0.17667518877460014,13397.839648132242,12.911829042571092,1766706.703708594,0.8470765254666843,33638.0,5,441,67,80,588,17.480230691479875,52521.15772960919
SAO PEDRO,3550407,2012,0.2688678094991751,52.751227495908346,0.17939251031615525,13034.784250413752,12.96056727775856,2549194.561746956,0.8378840684138475,32231.0,4,492,90,54,636,19.73255561416028,79091.38908960181
SAO PEDRO,3550407,2011,0.2636005043060421,52.292962356792145,0.1702607117148133,13136.354534759726,12.765441176470588,1367126.6420079658,0.7660565253497361,31951.0,5,562,65,68,695,21.752057838565303,42788.227035396885
SAO PEDRO,3550407,2010,0.26789098683679435,51.86252045826514,0.16160691744508962,12868.07,12.611989845733255,1527545.39,0.7359476714051537,31688.0,2,511,65,29,605,19.0924009088614,48205.79998737692
SAO ROQUE,3550605,2017,0.290289060928012,288.8442703232125,0.2339922914335447,19908.147137615168,13.581779538208869,333857.3049925779,0.982153904016166,88473.0,5,792,197,122,1111,12.557503419122218,3773.5501790668095
SAO ROQUE,3550605,2016,0.29527363358391007,285.68723473718575,0.23673805224784586,19465.999652143426,13.55324386947287,488722.176809609,0.9779393957913185,87506.0,5,809,156,118,1083,12.37629419696935,5585.0133340526245
SAO ROQUE,3550605,2015,0.30270231424382416,282.4518445968005,0.24992197884759867,20048.39571753305,13.39603181944316,424338.80686089135,0.9755223666720851,86515.0,7,765,174,141,1080,12.483384384210831,4904.80040294621
SAO ROQUE,3550605,2014,0.3082520536608991,279.14462944825334,0.25092980281163013,20763.48729854889,13.325844791423911,633210.7183379502,0.9744140862447862,85502.0,5,689,233,164,1086,12.701457275853196,7405.800078804592
SAO ROQUE,3550605,2013,0.31291308512081256,275.74273587985635,0.23780487804878048,20558.39165100377,13.174358974358974,123834.42981366532,0.9768716070681496,84460.0,12,715,191,142,1048,12.408240587260241,1466.1902653760992
SAO ROQUE,3550605,2012,0.3184249689372075,263.33986287952985,0.23158651640817743,19948.614149123532,13.059850107066381,164151.7603031959,0.9807048616300792,80661.0,8,715,248,176,1139,14.120826669642081,2035.082137627799
SAO ROQUE,3550605,2011,0.30890946350089754,260.3885079986941,0.23418634101082036,18920.83417401387,12.707142092301103,422038.8943642731,0.978932056452751,79757.0,7,651,149,231,1031,12.926765048835838,5291.559290899521
SAO ROQUE,3550605,2010,0.3118550873940502,257.5024485798237,0.23047177107501934,18477.82,12.630707448564198,120985.39,0.9801279347663375,78873.0,15,666,141,128,935,11.854500272590114,1533.9265654913595
SAO SEBASTIAO,3550704,2017,0.39476098174696633,213.63136863136864,0.2433421403352896,20488.582752248265,13.224645688205621,12570267.802606141,0.9912381874264782,85538.0,15,1079,289,76,1444,16.881386050644156,146955.36255940216
SAO SEBASTIAO,3550704,2016,0.3857408051595776,210.52447552447555,0.24159489406126178,20453.402515095782,13.10405106800884,12734008.427979155,0.9919114682079324,84294.0,26,1307,395,87,1789,21.223337366835125,151066.60530973919
SAO SEBASTIAO,3550704,2015,0.40179963419586096,207.34265734265736,0.24720549265237293,29724.88756251923,13.092871412561516,10401182.394947575,0.9956180078727487,83020.0,22,1334,292,89,1715,20.657672849915684,125285.26132194139
SAO SEBASTIAO,3550704,2014,0.42261291363783554,204.0909090909091,0.2431899948603735,51227.688849229606,13.042972877773863,10942625.114077402,0.9969531327751561,81718.0,25,1425,339,85,1849,22.626593896081648,133907.15771405812
SAO SEBASTIAO,3550704,2013,0.4322611171228092,200.74675324675326,0.24242650443523805,56615.9491662933,12.997741968592836,14064984.726996457,0.9967204900554282,80379.0,16,1647,316,118,2081,25.889846850545542,174983.32558250858
SAO SEBASTIAO,3550704,2012,0.4409110854467009,190.6693306693307,0.23612857591952216,53065.71798411152,12.894602540633494,14206605.8675996,0.9970292674936999,76344.0,10,1780,259,87,2126,27.847637011421984,186086.7372367128
SAO SEBASTIAO,3550704,2011,0.43304016824238717,187.71978021978023,0.22895573619999202,52503.394447934545,12.718519379394502,13569517.151350977,0.9969889763459594,75163.0,15,1663,257,42,1962,26.10326889560023,180534.53363158705
SAO SEBASTIAO,3550704,2010,0.4280787528940076,184.3981018981019,0.22661953327103057,51740.38,12.501852737269902,12340199.67,0.9965503162657843,73833.0,19,1540,300,56,1896,25.67957417414977,167136.64174556092
SAO SEBASTIAO DA GRAMA,3550803,2017,0.23433743477585156,48.799524564183834,0.23317366241779655,17148.813898814962,12.58983286908078,358131.76713107014,0.6583734022226261,12317.0,1,76,5,6,87,7.063408297475035,29076.217190149397
SAO SEBASTIAO DA GRAMA,3550803,2016,0.26738686820370705,48.870839936608554,0.2623429266315363,16118.534246352487,12.198393077873918,333679.8694270743,0.7160212786279141,12335.0,0,71,0,6,77,6.242399675719497,27051.46894422978
